iteration,temperature,current_score,best_score,accepted,rejected,current_hard_violations,current_skill_violations,current_availability_violations,current_fixed_assignment_violations,current_rest_violations,current_contract_violations,current_consecutive_work_violations,current_consecutive_night_violations,current_shortage_to_Cmin,current_shortage_to_Copt,current_overstaff_above_Copt,current_overstaff_above_Cmax,current_coverage_under_Cmin_cells,current_coverage_under_Copt_cells,current_coverage_over_Cmax_cells,current_preference_penalty,current_standard_profile_penalty,current_incompatibility_penalty,current_fairness_penalty,current_actual_assignments,best_hard_violations,best_skill_violations,best_availability_violations,best_fixed_assignment_violations,best_rest_violations,best_contract_violations,best_consecutive_work_violations,best_consecutive_night_violations,best_shortage_to_Cmin,best_shortage_to_Copt,best_overstaff_above_Copt,best_overstaff_above_Cmax,best_coverage_under_Cmin_cells,best_coverage_under_Copt_cells,best_coverage_over_Cmax_cells,best_preference_penalty,best_standard_profile_penalty,best_incompatibility_penalty,best_fairness_penalty,best_actual_assignments,stop_reason
13800,188.67680126765364,27694.0,2186.0,1971,11829,43.0,0.0,0.0,0.0,24.0,0.0,17.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,499.0,1915.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
14000,188.67680126765364,26495.0,2186.0,1995,12005,40.0,0.0,0.0,0.0,23.0,0.0,15.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,495.0,1918.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
14200,179.24296120427096,25081.0,2186.0,2017,12183,39.0,0.0,0.0,0.0,21.0,0.0,16.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,487.0,1912.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
14400,179.24296120427096,25069.0,2186.0,2040,12360,36.0,0.0,0.0,0.0,22.0,0.0,12.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,474.0,1915.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
14600,179.24296120427096,24488.0,2186.0,2063,12537,34.0,0.0,0.0,0.0,21.0,0.0,10.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,475.0,1933.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
14800,170.2808131440574,24909.0,2186.0,2083,12717,39.0,0.0,0.0,0.0,20.0,0.0,16.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,491.0,1936.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
15000,170.2808131440574,25532.0,2186.0,2111,12889,42.0,0.0,0.0,0.0,20.0,0.0,19.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,501.0,1951.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
15200,170.2808131440574,25130.0,2186.0,2130,13070,40.0,0.0,0.0,0.0,20.0,0.0,17.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,491.0,1957.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
15400,170.2808131440574,24131.0,2186.0,2152,13248,35.0,0.0,0.0,0.0,20.0,0.0,12.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,491.0,1960.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
15600,161.7667724868545,23334.0,2186.0,2170,13430,33.0,0.0,0.0,0.0,20.0,0.0,11.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,491.0,1963.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
15800,161.7667724868545,23025.0,2186.0,2196,13604,33.0,0.0,0.0,0.0,19.0,0.0,12.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,487.0,1957.0,600.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
16000,161.7667724868545,21702.0,2186.0,2212,13788,32.0,0.0,0.0,0.0,18.0,0.0,12.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,474.0,1948.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
16200,153.67843386251178,20918.0,2186.0,2235,13965,30.0,0.0,0.0,0.0,18.0,0.0,11.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,490.0,1948.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
16400,153.67843386251178,21118.0,2186.0,2248,14152,31.0,0.0,0.0,0.0,18.0,0.0,12.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,490.0,1948.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
16600,153.67843386251178,21110.0,2186.0,2267,14333,31.0,0.0,0.0,0.0,18.0,0.0,12.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,482.0,1948.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
16800,153.67843386251178,21115.0,2186.0,2290,14510,31.0,0.0,0.0,0.0,18.0,0.0,12.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,490.0,1945.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
17000,145.99451216938618,20328.0,2186.0,2312,14688,30.0,0.0,0.0,0.0,17.0,0.0,12.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,488.0,1960.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
17200,145.99451216938618,19928.0,2186.0,2331,14869,28.0,0.0,0.0,0.0,17.0,0.0,10.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,488.0,1960.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
17400,145.99451216938618,19933.0,2186.0,2347,15053,28.0,0.0,0.0,0.0,17.0,0.0,10.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,493.0,1960.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
17600,138.69478656091687,19943.0,2186.0,2367,15233,28.0,0.0,0.0,0.0,17.0,0.0,10.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,506.0,1957.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
17800,138.69478656091687,19755.0,2186.0,2388,15412,27.0,0.0,0.0,0.0,17.0,0.0,9.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,506.0,1969.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
18000,138.69478656091687,19747.0,2186.0,2407,15593,27.0,0.0,0.0,0.0,17.0,0.0,9.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,498.0,1969.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
18200,138.69478656091687,19355.0,2186.0,2435,15765,25.0,0.0,0.0,0.0,17.0,0.0,7.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,503.0,1972.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
18400,131.76004723287102,18599.0,2186.0,2462,15938,24.0,0.0,0.0,0.0,15.0,0.0,8.0,1.0,0.0,2.0,17.0,0.0,0.0,2.0,0.0,508.0,1960.0,400.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
18600,131.76004723287102,17649.0,2186.0,2479,16121,24.0,0.0,0.0,0.0,14.0,0.0,9.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,508.0,1960.0,400.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
18800,131.76004723287102,17858.0,2186.0,2502,16298,25.0,0.0,0.0,0.0,14.0,0.0,10.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,526.0,1951.0,400.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
19000,125.17204487122746,17574.0,2186.0,2522,16478,25.0,0.0,0.0,0.0,14.0,0.0,10.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,534.0,1960.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
19200,125.17204487122746,15777.0,2186.0,2543,16657,22.0,0.0,0.0,0.0,12.0,0.0,9.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,534.0,1963.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
19400,125.17204487122746,15390.0,2186.0,2565,16835,20.0,0.0,0.0,0.0,12.0,0.0,7.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,535.0,1975.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
19600,125.17204487122746,15178.0,2186.0,2592,17008,19.0,0.0,0.0,0.0,12.0,0.0,6.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,538.0,1960.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
19800,118.91344262766607,14998.0,2186.0,2611,17189,18.0,0.0,0.0,0.0,12.0,0.0,5.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,543.0,1975.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
20000,118.91344262766607,15195.0,2186.0,2629,17371,19.0,0.0,0.0,0.0,12.0,0.0,6.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,549.0,1966.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
20200,118.91344262766607,15197.0,2186.0,2648,17552,19.0,0.0,0.0,0.0,12.0,0.0,6.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,545.0,1972.0,400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
20400,112.96777049628277,14800.0,2186.0,2672,17728,18.0,0.0,0.0,0.0,11.0,0.0,6.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,549.0,1969.0,200.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
20600,112.96777049628277,12988.0,2186.0,2701,17899,15.0,0.0,0.0,0.0,8.0,0.0,6.0,1.0,0.0,4.0,16.0,0.0,0.0,4.0,0.0,541.0,1963.0,200.0,84.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
20800,112.96777049628277,12094.0,2186.0,2723,18077,16.0,0.0,0.0,0.0,7.0,0.0,8.0,1.0,0.0,3.0,16.0,0.0,0.0,3.0,0.0,536.0,1975.0,0.0,83.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
21000,112.96777049628277,12000.0,2186.0,2736,18264,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,541.0,1975.0,0.0,84.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
21200,107.31938197146863,12014.0,2186.0,2754,18446,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,558.0,1972.0,0.0,84.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
21400,107.31938197146863,11993.0,2186.0,2774,18626,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,540.0,1969.0,0.0,84.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
21600,107.31938197146863,11692.0,2186.0,2793,18807,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,540.0,1969.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
21800,101.9534128728952,11709.0,2186.0,2804,18996,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,545.0,1981.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
22000,101.9534128728952,11731.0,2186.0,2826,19174,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,558.0,1990.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
22200,101.9534128728952,11731.0,2186.0,2842,19358,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,558.0,1990.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
22400,101.9534128728952,11743.0,2186.0,2865,19535,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,563.0,1999.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
22600,96.85574222925044,11733.0,2186.0,2883,19717,17.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,568.0,1984.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
22800,96.85574222925044,11530.0,2186.0,2901,19899,17.0,0.0,0.0,0.0,6.0,0.0,9.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,571.0,1978.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
23000,96.85574222925044,11306.0,2186.0,2923,20077,16.0,0.0,0.0,0.0,6.0,0.0,8.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,553.0,1972.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
23200,92.01295511778791,11321.0,2186.0,2937,20263,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,559.0,1981.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
23400,92.01295511778791,11321.0,2186.0,2958,20442,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,563.0,1975.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
23600,92.01295511778791,11315.0,2186.0,2974,20626,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,563.0,1969.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
23800,92.01295511778791,11321.0,2186.0,2992,20808,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,563.0,1975.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
24000,87.41230736189851,11339.0,2186.0,3018,20982,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,568.0,1990.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
24200,87.41230736189851,11329.0,2186.0,3035,21165,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,567.0,1981.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
24400,87.41230736189851,11314.0,2186.0,3059,21341,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,555.0,1978.0,0.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
24600,83.04169199380358,11319.0,2186.0,3081,21519,13.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,558.0,1978.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
24800,83.04169199380358,10105.0,2186.0,3105,21695,12.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,544.0,1978.0,0.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
25000,83.04169199380358,9799.0,2186.0,3121,21879,12.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,540.0,1975.0,0.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
25200,83.04169199380358,9804.0,2186.0,3132,22068,12.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,545.0,1975.0,0.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
25400,78.8896073941134,9798.0,2186.0,3151,22249,12.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,553.0,1963.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
25600,78.8896073941134,9784.0,2186.0,3171,22429,12.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,539.0,1963.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
25800,78.8896073941134,9408.0,2186.0,3195,22605,10.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,560.0,1966.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
26000,74.94512702440773,9413.0,2186.0,3218,22782,10.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,559.0,1972.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
26200,74.94512702440773,9415.0,2186.0,3240,22960,10.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,564.0,1969.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
26400,74.94512702440773,9411.0,2186.0,3261,23139,10.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,551.0,1978.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
26600,74.94512702440773,9424.0,2186.0,3280,23320,10.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,555.0,1987.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
26800,71.19787067318734,9456.0,2186.0,3296,23504,10.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,575.0,1999.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
27000,71.19787067318734,9461.0,2186.0,3314,23686,10.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,576.0,2005.0,0.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
27200,71.19787067318734,9672.0,2186.0,3328,23872,11.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,590.0,2002.0,0.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
27400,67.63797713952796,9657.0,2186.0,3351,24049,11.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,569.0,2008.0,0.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
27600,67.63797713952796,8246.0,2186.0,3374,24226,9.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,561.0,2005.0,0.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
27800,67.63797713952796,8048.0,2186.0,3395,24405,8.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,564.0,2002.0,0.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
